Date,Con,Lab,Lib Dem,UKIP,Green
2014-09-02,32.0,35.0,8.0,15.0,5.0
2014-09-01,34.0,35.0,7.0,14.0,5.0
2014-08-31,28.0,35.0,9.0,17.0,6.0
2014-08-31,32.0,36.0,9.0,15.0,3.0
2014-08-29,32.0,36.0,7.0,16.0,4.0
2014-08-29,30.0,36.0,7.0,16.0,4.0
2014-08-28,35.0,34.0,8.0,13.0,5.0
2014-08-28,33.0,36.0,7.0,13.0,5.0
2014-08-27,34.0,35.0,7.0,14.0,6.0
2014-08-26,33.0,37.0,8.0,13.0,5.0
2014-08-25,32.0,38.0,8.0,15.0,3.0
2014-08-22,34.0,36.0,8.0,14.0,5.0
2014-08-22,32.0,34.0,8.0,18.0,3.0
2014-08-21,33.0,39.0,9.0,11.0,3.0
2014-08-21,33.0,38.0,8.0,12.0,5.0
2014-08-20,34.0,38.0,9.0,11.0,4.0
2014-08-19,36.0,37.0,9.0,12.0,3.0
2014-08-18,33.0,38.0,8.0,12.0,4.0
2014-08-17,32.0,37.0,9.0,14.0,3.0
2014-08-15,34.0,38.0,7.0,13.0,4.0
2014-08-15,28.0,32.0,10.0,21.0,4.0
2014-08-14,32.0,35.0,9.0,14.0,5.0
2014-08-14,35.0,35.0,8.0,12.0,5.0
2014-08-13,34.0,36.0,10.0,12.0,4.0
2014-08-12,35.0,38.0,8.0,11.0,4.0
2014-08-11,33.0,37.0,8.0,12.0,5.0
2014-08-11,33.0,33.0,7.0,13.0,7.0
2014-08-11,33.0,37.0,9.0,12.0,3.0
2014-08-10,31.0,38.0,12.0,10.0,4.0
2014-08-08,33.0,37.0,8.0,13.0,4.0
2014-08-07,36.0,35.0,9.0,11.0,3.0
2014-08-07,33.0,38.0,7.0,12.0,4.0
2014-08-06,34.0,37.0,9.0,12.0,4.0
2014-08-05,33.0,38.0,8.0,12.0,4.0
2014-08-04,34.0,38.0,6.0,13.0,4.0
2014-08-03,30.0,33.0,8.0,18.0,6.0
2014-08-03,35.0,37.0,9.0,12.0,3.0
2014-08-01,35.0,38.0,7.0,12.0,4.0
2014-08-01,32.0,35.0,7.0,15.0,5.0
2014-07-31,35.0,36.0,8.0,13.0,4.0
2014-07-31,34.0,38.0,8.0,13.0,4.0
2014-07-30,35.0,37.0,8.0,12.0,4.0
2014-07-29,34.0,35.0,8.0,12.0,6.0
2014-07-28,33.0,39.0,8.0,12.0,4.0
2014-07-27,27.0,33.0,8.0,17.0,7.0
2014-07-27,32.0,34.0,9.0,14.0,6.0
2014-07-27,33.0,37.0,9.0,12.0,4.0
2014-07-25,35.0,36.0,8.0,13.0,5.0
2014-07-24,35.0,37.0,9.0,9.0,4.0
2014-07-24,35.0,38.0,8.0,11.0,4.0
2014-07-23,34.0,38.0,8.0,12.0,4.0
2014-07-22,34.0,37.0,7.0,14.0,5.0
2014-07-21,34.0,38.0,9.0,11.0,4.0
2014-07-20,27.0,35.0,7.0,17.0,7.0
2014-07-20,32.0,37.0,9.0,13.0,4.0
2014-07-18,32.0,37.0,9.0,13.0,5.0
2014-07-18,31.0,34.0,9.0,17.0,4.0
2014-07-17,35.0,35.0,8.0,14.0,3.0
2014-07-17,32.0,39.0,8.0,13.0,4.0
2014-07-17,29.0,36.0,7.0,19.0,9.0
2014-07-17,30.0,34.0,9.0,17.0,4.0
2014-07-16,33.0,36.0,9.0,13.0,4.0
2014-07-15,34.0,38.0,6.0,13.0,4.0
2014-07-15,32.0,35.0,8.0,12.0,8.0
2014-07-14,35.0,38.0,8.0,10.0,4.0
2014-07-13,34.0,33.0,12.0,9.0,4.0
2014-07-13,32.0,36.0,7.0,14.0,6.0
2014-07-13,34.0,37.0,9.0,12.0,5.0
2014-07-11,33.0,38.0,9.0,12.0,4.0
2014-07-10,34.0,36.0,8.0,12.0,3.0
2014-07-10,34.0,37.0,8.0,12.0,5.0
2014-07-09,32.0,36.0,10.0,12.0,5.0
2014-07-08,31.0,38.0,8.0,12.0,5.0
2014-07-07,34.0,37.0,9.0,13.0,4.0
