Date,JxCat,Cs,Left (PSOE + Sumar + PNV + EHB + ERC),Right (PP + VOX)
2021-05-06,2.7,2.3,47.0,42.8
2021-05-06,2.5,3.2,46.8,42.400000000000006
2021-05-02,2.3,4.0,47.6,40.9
2021-04-24,2.3,4.0,47.6,40.8
2021-04-17,2.4,3.8,47.2,41.4
2021-04-16,2.0,4.5,46.400000000000006,41.5
2021-04-16,,3.6,37.3,42.8
2021-04-15,,2.1,42.7,41.7
2021-04-14,1.2,4.0,48.900000000000006,39.6
2021-04-14,1.5,6.7,49.3,36.0
2021-04-13,,3.8,41.599999999999994,40.5
2021-04-09,2.4,3.9,47.2,41.1
2021-04-02,2.5,3.7,47.7,40.900000000000006
2021-03-31,2.2,4.0,46.699999999999996,42.2
2021-03-26,2.6,3.2,47.9,41.1
2021-03-20,2.6,2.8,48.099999999999994,41.2
2021-03-19,,4.4,38.2,42.5
