Date,ÖVP,SPÖ,FPÖ,Grüne,NEOS,KPÖ,BIER
2021-07-29,35.0,20.0,17.0,12.0,12.0,,
2021-07-22,35.0,20.0,18.0,12.0,11.0,,
2021-07-21,35.0,22.0,19.0,11.0,12.0,,
2021-07-15,35.0,20.0,18.0,11.0,12.0,,
2021-07-08,34.0,22.0,17.0,12.0,12.0,,
2021-07-08,35.0,21.0,17.0,11.0,12.0,,
2021-07-02,33.0,24.0,18.0,12.0,12.0,,
2021-07-01,35.0,22.0,17.0,13.0,12.0,,
2021-07-01,34.0,22.0,16.0,11.0,12.0,,
2021-06-30,31.0,26.0,17.0,13.0,11.0,,
2021-06-24,33.0,25.0,18.0,11.0,11.0,,
2021-06-24,34.0,23.0,16.0,12.0,11.0,,
2021-06-24,34.0,23.0,18.0,11.0,12.0,,
2021-06-17,35.0,22.0,15.0,12.0,11.0,,
2021-06-15,32.0,27.0,18.0,11.0,11.0,,
2021-06-10,32.0,27.0,16.0,13.0,11.0,,
2021-06-10,35.0,23.0,14.0,12.0,12.0,,
2021-06-10,33.0,23.0,18.0,13.0,11.0,,
2021-06-02,35.0,24.0,15.0,11.0,12.0,,
2021-05-30,29.0,28.0,20.0,10.0,11.0,,
2021-05-27,34.0,23.0,16.0,11.0,12.0,,
2021-05-20,34.0,22.0,17.0,11.0,12.0,,
2021-05-14,33.0,23.0,18.0,12.0,11.0,,
2021-05-13,35.0,22.0,17.0,12.0,11.0,,
2021-05-12,34.0,23.0,18.0,12.0,10.0,,
2021-05-06,36.0,21.0,17.0,12.0,11.0,,
2021-04-29,36.0,20.0,16.0,12.0,12.0,,
2021-04-29,33.0,25.0,18.0,13.0,9.0,,
2021-04-22,36.0,21.0,16.0,12.0,11.0,,
2021-04-08,33.0,24.0,19.0,12.0,10.0,,
2021-04-01,35.0,24.0,17.0,11.0,10.0,,
2021-04-01,36.0,21.0,18.0,9.0,12.0,,
2021-03-30,36.0,26.0,15.0,12.0,10.0,,
2021-03-25,36.0,23.0,18.0,11.0,11.0,,
2021-03-25,36.0,22.0,17.0,9.0,11.0,,
2021-03-17,37.0,24.0,16.0,9.0,10.0,,
2021-03-11,35.0,25.0,17.0,10.0,11.0,,
2021-03-04,37.0,23.0,17.0,9.0,10.0,,
2021-03-04,35.0,24.0,17.0,10.0,12.0,,
